createdAt,updatedAt,requirementId,opportunityId
2014-11-26 12:25:35.021-08,2014-11-26 12:25:35.021-08,14,62
2014-11-26 12:25:35.021-08,2014-11-26 12:25:35.021-08,15,62
2014-11-26 12:25:35.021-08,2014-11-26 12:25:35.021-08,16,62
2014-11-26 12:25:35.021-08,2014-11-26 12:25:35.021-08,17,62
2014-11-26 12:25:35.021-08,2014-11-26 12:25:35.021-08,19,62
2014-11-26 12:25:35.021-08,2014-11-26 12:25:35.021-08,20,62
2014-11-26 12:25:35.021-08,2014-11-26 12:25:35.021-08,21,62
2014-11-26 12:25:35.021-08,2014-11-26 12:25:35.021-08,80,62
2014-11-26 12:26:41.476-08,2014-11-26 12:26:41.476-08,80,45
2014-11-26 12:27:10.092-08,2014-11-26 12:27:10.092-08,3,48
2014-11-26 12:27:10.092-08,2014-11-26 12:27:10.092-08,19,48
2014-11-26 12:27:10.092-08,2014-11-26 12:27:10.092-08,20,48
2014-11-26 12:27:10.092-08,2014-11-26 12:27:10.092-08,41,48
2014-11-26 12:27:10.092-08,2014-11-26 12:27:10.092-08,79,48
2014-11-26 12:27:10.092-08,2014-11-26 12:27:10.092-08,48,48
2014-11-26 12:27:10.092-08,2014-11-26 12:27:10.092-08,83,48
2014-11-26 12:27:10.092-08,2014-11-26 12:27:10.092-08,84,48
2014-11-26 12:27:36.232-08,2014-11-26 12:27:36.232-08,80,50
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,1,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,3,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,5,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,6,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,7,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,8,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,9,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,10,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,11,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,12,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,14,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,15,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,16,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,17,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,18,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,19,63
2014-11-26 12:28:13.24-08,2014-11-26 12:28:13.24-08,20,63
